location,target,value
1,2020-02-01,NA
1,2020-02-02,NA
1,2020-02-03,NA
1,2020-02-04,NA
1,2020-02-05,NA
1,2020-02-06,NA
1,2020-02-07,NA
1,2020-02-08,5
1,2020-02-09,5
1,2020-02-10,5
1,2020-02-11,5
1,2020-02-12,5
1,2020-02-13,5
1,2020-02-14,5
1,2020-02-15,5
1,2020-02-16,5
1,2020-02-17,5
1,2020-02-18,5
1,2020-02-19,5
1,2020-02-20,5
1,2020-02-21,5
1,2020-02-22,5
1,2020-02-23,5
1,2020-02-24,5
1,2020-02-25,5
1,2020-02-26,5
1,2020-02-27,5
1,2020-02-28,5.33333333333333
1,2020-02-29,5.66666666444774
1,2020-03-01,5.66113183312103
1,2020-03-02,5.99670039388643
1,2020-03-03,5.80110850884387
1,2020-03-04,5.56627750398087
1,2020-03-05,5.22185959656131
1,2020-03-06,4.65666063395959
1,2020-03-07,4.24972286944682
1,2020-03-08,3.94749998728056
1,2020-03-09,4.32320960737242
1,2020-03-10,5.71066547014436
1,2020-03-11,8.93889490396162
1,2020-03-12,11.605148501893
1,2020-03-13,12.464332125391
1,2020-03-14,11.1705660144053
1,2020-03-15,7.38018916297643
1,2020-03-16,5.9949830517503
1,2020-03-17,5.32482445889274
1,2020-03-18,5.07048934169252
1,2020-03-19,3.77091209145935
1,2020-03-20,2.98971975726939
1,2020-03-21,2.26632743151579
1,2020-03-22,1.72803873792336
1,2020-03-23,1.66002171101928
1,2020-03-24,1.55477984031969
1,2020-03-25,1.52010529272965
1,2020-03-26,1.53199898351786
1,2020-03-27,1.43823695502901
1,2020-03-28,1.34784072481759
1,2020-03-29,1.29891819172467
1,2020-03-30,1.22780833710525
1,2020-03-31,1.20651191656989
1,2020-04-01,1.15298559974952
1,2020-04-02,1.14196514711113
1,2020-04-03,1.07893194392754
1,2020-04-04,1.00144317063361
1,2020-04-05,0.9814247272818
1,2020-04-06,0.914478021339481
1,2020-04-07,0.903620553226576
1,2020-04-08,0.948172341314229
1,2020-04-09,0.991685799893693
1,2020-04-10,0.928275103046661
1,2020-04-11,0.940589847195203
1,2020-04-12,0.890289664071465
1,2020-04-13,0.913001054086796
1,2020-04-14,0.84180763456263
1,2020-04-15,0.763339881775616
1,2020-04-16,0.65603590022891
1,2020-04-17,0.624923458411507
1,2020-04-18,0.657007332435719
1,2020-04-19,0.741874271697856
1,2020-04-20,0.803097464457804
1,2020-04-21,1.12075108575692
1,2020-04-22,1.38416900328792
1,2020-04-23,1.49075284967238
1,2020-04-24,1.70738136674004
1,2020-04-25,1.68661348660942
1,2020-04-26,1.70132946961775
1,2020-04-27,1.63736245344685
1,2020-04-28,1.82466999553107
1,2020-04-29,1.81336303843498
1,2020-04-30,1.79758917135184
1,2020-05-01,1.31178324869992
1,2020-05-02,1.10616838623865
1,2020-05-03,2.72711876054684
1,2020-05-04,2.42842668488966
1,2020-05-05,3.9078428189929
1,2020-05-06,2.20815267399014
1,2020-05-07,1.96077535412374
1,2020-05-08,1.57009192761066
1,2020-05-09,1.43170091668668
1,2020-05-10,1.44359621194746
1,2020-05-11,1.58406253791103
1,2020-05-12,1.49982098154646
1,2020-05-13,1.40232926018274
1,2020-05-14,1.24356670858219
1,2020-05-15,1.32897658421341
1,2020-05-16,1.58757335911836
1,2020-05-17,2.10488183104814
1,2020-05-18,2.1680352449287
1,2020-05-19,2.73162847210324
1,2020-05-20,2.53115064142286
1,2020-05-21,4.09035151483184
1,2020-05-22,3.84397785757764
1,2020-05-23,3.2562271434471
1,2020-05-24,2.84874380103253
1,2020-05-25,2.67372899096117
1,2020-05-26,2.98581148464424
1,2020-05-27,2.98951423782416
1,2020-05-28,3.18318221178086
1,2020-05-29,2.76207139320337
1,2020-05-30,3.12931573791416
1,2020-05-31,3.58826543923122
1,2020-06-01,3.9234666819874
1,2020-06-02,4.48904270886771
1,2020-06-03,3.0775135054177
1,2020-06-04,2.66422488087241
1,2020-06-05,2.47732638846285
1,2020-06-06,2.26396059770271
1,2020-06-07,2.660681357729
1,2020-06-08,2.57250004205645
1,2020-06-09,3.30412001391219
1,2020-06-10,4.53851178823897
1,2020-06-11,4.83581428268676
1,2020-06-12,4.35577504530352
1,2020-06-13,4.06128066426723
1,2020-06-14,3.26815338027191
1,2020-06-15,3.01655202099561
1,2020-06-16,3.1107350220257
1,2020-06-17,3.48713938867879
1,2020-06-18,4.03651702163891
1,2020-06-19,4.19782968845062
1,2020-06-20,4.28264155244061
1,2020-06-21,4.75465031352586
1,2020-06-22,4.0097724851352
1,2020-06-23,4.24037982632345
1,2020-06-24,3.54061128170172
1,2020-06-25,3.59496460019449
1,2020-06-26,4.12224831812923
1,2020-06-27,5.4465639195811
1,2020-06-28,3.74187651774287
1,2020-06-29,3.27474106160008
1,2020-06-30,4.16750609958221
1,2020-07-01,4.64273834987502
1,2020-07-02,4.9047510188737
1,2020-07-03,3.84573706931764
1,2020-07-04,3.30214880633936
1,2020-07-05,3.05733342556072
1,2020-07-06,2.69446218137818
1,2020-07-07,2.73186380178165
1,2020-07-08,2.5254979894762
1,2020-07-09,2.42513662912146
1,2020-07-10,2.39223992328776
1,2020-07-11,2.43120579024055
1,2020-07-12,3.04942178044214
1,2020-07-13,5.17427058062378
1,2020-07-14,6.16846250170026
1,2020-07-15,5.54016536612106
1,2020-07-16,4.11090694617298
1,2020-07-17,3.97884944093589
1,2020-07-18,3.0093416311522
1,2020-07-19,2.75939703288593
1,2020-07-20,3.83871647139094
1,2020-07-21,3.47287835998854
1,2020-07-22,5.05445405375756
1,2020-07-23,4.81351776376674
1,2020-07-24,4.94238963054037
1,2020-07-25,3.88480222202251
1,2020-07-26,2.81853325517607
1,2020-07-27,2.10373256874778
1,2020-07-28,2.08340071709232
1,2020-07-29,3.32327670077536
1,2020-07-30,2.968116595199
1,2020-07-31,2.8955962472968
1,2020-08-01,2.91863233704194
1,2020-08-02,2.32137355882612
1,2020-08-03,2.33341726434206
1,2020-08-04,2.3826232838285
1,2020-08-05,1.9382107170291
1,2020-08-06,2.08182232233449
1,2020-08-07,1.71253867396163
1,2020-08-08,1.41455959552912
1,2020-08-09,1.55161887867191
1,2020-08-10,2.14553485466225
1,2020-08-11,1.81469226675227
1,2020-08-12,2.06383917431865
1,2020-08-13,2.08486790452404
1,2020-08-14,2.10556944389796
1,2020-08-15,1.56447389652999
1,2020-08-16,1.26211028197696
1,2020-08-17,1.11701147375108
1,2020-08-18,0.861158970156682
1,2020-08-19,0.799048823535542
1,2020-08-20,0.917217369110864
1,2020-08-21,0.823142806491911
1,2020-08-22,1.00102647524106
1,2020-08-23,1.17087389207711
1,2020-08-24,1.4828326075352
1,2020-08-25,1.80741366561036
1,2020-08-26,2.16205729417438
1,2020-08-27,1.84233920417527
1,2020-08-28,1.43794080066359
1,2020-08-29,1.16301622794933
1,2020-08-30,1.07308818190422
1,2020-08-31,1.04689496311941
1,2020-09-01,1.0831393507511
1,2020-09-02,1.50095142371611
1,2020-09-03,2.11041514265922
1,2020-09-04,2.1470348449266
1,2020-09-05,1.49939827510572
1,2020-09-06,1.32829275812542
1,2020-09-07,1.71667244123502
1,2020-09-08,2.39896581282935
1,2020-09-09,2.47437489521205
1,2020-09-10,1.74586167996923
1,2020-09-11,1.20626196957341
1,2020-09-12,1.21065479766431
1,2020-09-13,1.68018403598587
1,2020-09-14,3.91961531879095
1,2020-09-15,4.20606631466472
1,2020-09-16,4.32322294893843
1,2020-09-17,3.52402716802977
1,2020-09-18,2.60604082116961
1,2020-09-19,2.04411981725749
1,2020-09-20,1.76114239073577
1,2020-09-21,1.59199494595242
1,2020-09-22,1.47539280267379
1,2020-09-23,1.73499122125353
1,2020-09-24,1.88785152462179
1,2020-09-25,1.98735042015564
1,2020-09-26,1.82505923180688
1,2020-09-27,1.41189142484096
1,2020-09-28,1.30094057996938
1,2020-09-29,1.24047686100688
1,2020-09-30,1.22727622840337
1,2020-10-01,1.17760088320896
1,2020-10-02,1.09423805141178
1,2020-10-03,1.07386898926299
1,2020-10-04,1.1864788969048
1,2020-10-05,1.15776374291391
1,2020-10-06,1.24733186152928
1,2020-10-07,1.30541935200901
1,2020-10-08,1.33919506847432
1,2020-10-09,1.37852689074247
1,2020-10-10,1.39112480955248
1,2020-10-11,1.41870118891806
1,2020-10-12,1.38674654753846
1,2020-10-13,1.52515707965548
1,2020-10-14,1.54803792618277
1,2020-10-15,1.42382293870969
1,2020-10-16,1.39602177483974
1,2020-10-17,1.36204211680894
1,2020-10-18,1.3606158883122
1,2020-10-19,1.58216661329129
1,2020-10-20,1.56386301056528
1,2020-10-21,1.72462046414437
1,2020-10-22,1.88428663570434
1,2020-10-23,1.76557996633704
1,2020-10-24,1.73876725337691
1,2020-10-25,1.55437231932905
1,2020-10-26,1.35284845838192
1,2020-10-27,1.37481193316424
1,2020-10-28,1.3625193917068
1,2020-10-29,1.31510806526878
1,2020-10-30,1.358152387782
1,2020-10-31,1.30033981218616
1,2020-11-01,1.22622780372781
1,2020-11-02,1.17724059410089
1,2020-11-03,1.07894241885656
1,2020-11-04,1.0047152401891
1,2020-11-05,0.996113560412116
1,2020-11-06,0.963640878130955
1,2020-11-07,0.96848640482822
1,2020-11-08,0.99033743403427
1,2020-11-09,1.05910990493198
1,2020-11-10,1.06203037614041
1,2020-11-11,1.12575716909012
1,2020-11-12,1.07738671269607
1,2020-11-13,1.08225364085583
1,2020-11-14,1.03295861115522
1,2020-11-15,0.990755327573704
1,2020-11-16,0.896867324864003
1,2020-11-17,0.912143243492518
1,2020-11-18,0.87516577209807
1,2020-11-19,0.897000238657123
1,2020-11-20,0.905334532636565
1,2020-11-21,0.901700849250808
1,2020-11-22,0.915475082790536
1,2020-11-23,0.968859220921866
1,2020-11-24,0.981948815572281
1,2020-11-25,1.01673987095029
1,2020-11-26,1.02020204526038
1,2020-11-27,1.0184613620244
1,2020-11-28,1.02475339352313
1,2020-11-29,0.994688064142015
1,2020-11-30,0.941522608590524
1,2020-12-01,0.93083932501922
1,2020-12-02,0.94825383554999
1,2020-12-03,1.00397883222922
1,2020-12-04,1.0786635162975
1,2020-12-05,1.14879897991656
1,2020-12-06,1.2281664277938
1,2020-12-07,1.27049829612903
1,2020-12-08,1.34373146063542
1,2020-12-09,1.36131300247451
1,2020-12-10,1.43319827908656
1,2020-12-11,1.47298413891316
1,2020-12-12,1.50671901666785
1,2020-12-13,1.39227919562936
1,2020-12-14,1.29465025144522
1,2020-12-15,1.26530599050938
1,2020-12-16,1.26943847870413
1,2020-12-17,1.24527894273432
1,2020-12-18,1.25259644741016
1,2020-12-19,1.14854658356154
1,2020-12-20,1.09717477268977
1,2020-12-21,1.06087553206994
1,2020-12-22,1.04106910020783
1,2020-12-23,1.10338328114173
1,2020-12-24,1.07300880355691
1,2020-12-25,0.954855482903532
1,2020-12-26,0.853810316814781
1,2020-12-27,0.793127029700521
1,2020-12-28,0.817336954775578
1,2020-12-29,0.91234922041849
1,2020-12-30,0.929334235160688
