submission_date,team,model,target_date,location_type,variable,score
2022-10-05,RKIsurv,etsANN,2021-04-18,LK,cases,65.00376330668168
2022-10-05,RKIsurv,etsANN,2021-04-25,LK,cases,65.11992249260278
2022-10-05,RKIsurv,etsANN,2021-05-16,LK,cases,65.22656389072925
2022-10-05,RKIsurv,etsANN,2021-07-25,LK,cases,65.23071792553627
2022-10-05,RKIsurv,etsANN,2021-07-04,LK,cases,65.24822078866539
2022-10-05,RKIsurv,etsANN,2021-06-20,LK,cases,65.29893038478367
2022-10-05,RKIsurv,etsANN,2021-05-09,LK,cases,65.31684392255039
2022-10-05,RKIsurv,etsANN,2021-07-11,LK,cases,65.31884786368346
2022-10-05,RKIsurv,etsANN,2021-06-27,LK,cases,65.32848600507722
2022-10-05,RKIsurv,etsANN,2021-06-13,LK,cases,65.35589443488283
2022-10-05,RKIsurv,etsANN,2021-06-06,LK,cases,65.40539226332423
2022-10-05,RKIsurv,etsANN,2021-07-18,LK,cases,65.48061706940548
2022-10-05,RKIsurv,etsANN,2021-05-30,LK,cases,65.4905580455343
2022-10-05,RKIsurv,etsANN,2021-05-02,LK,cases,65.49597636699306
2022-10-05,RKIsurv,etsANN,2021-05-23,LK,cases,65.51982607835286
2022-10-05,RKIsurv,arima,2021-06-27,LK,cases,70.30413679072649
2022-10-05,RKIsurv,arima,2021-07-11,LK,cases,70.5038619447195
2022-10-05,RKIsurv,arima,2021-06-06,LK,cases,70.57094694265248
2022-10-05,RKIsurv,arima,2021-04-25,LK,cases,70.61330688343469
2022-10-05,RKIsurv,arima,2021-07-25,LK,cases,70.61941260217726
2022-10-05,RKIsurv,arima,2021-07-04,LK,cases,70.76405005198187
2022-10-05,RKIsurv,arima,2021-05-09,LK,cases,70.86315096902018
2022-10-05,RKIsurv,arima,2021-05-16,LK,cases,70.88873235382636
2022-10-05,RKIsurv,arima,2021-05-23,LK,cases,70.89211327273155
2022-10-05,RKIsurv,arima,2021-07-18,LK,cases,70.92931637571556
2022-10-05,RKIsurv,arima,2021-05-30,LK,cases,70.98520912222682
2022-10-05,RKIsurv,arima,2021-05-02,LK,cases,71.02736176286189
2022-10-05,RKIsurv,arima,2021-06-20,LK,cases,71.02813369143863
2022-10-05,RKIsurv,arima,2021-04-18,LK,cases,71.10526549545112
2022-10-05,RKIsurv,arima,2021-06-13,LK,cases,71.18085391309288
2022-10-05,RKIsurv,etsAAA,2021-07-04,LK,cases,98.74128933482746
2022-10-05,RKIsurv,etsAAA,2021-05-23,LK,cases,98.8579525063753
2022-10-05,RKIsurv,etsAAA,2021-05-02,LK,cases,98.90709407377068
2022-10-05,RKIsurv,etsAAA,2021-04-25,LK,cases,98.99753235209717
2022-10-05,RKIsurv,etsAAA,2021-06-06,LK,cases,99.10931607934256
2022-10-05,RKIsurv,etsAAA,2021-04-18,LK,cases,99.21787773232823
2022-10-05,RKIsurv,etsAAA,2021-05-09,LK,cases,99.23366101600534
2022-10-05,RKIsurv,etsAAA,2021-05-16,LK,cases,99.29478327026624
2022-10-05,RKIsurv,etsAAA,2021-06-27,LK,cases,99.37034766484267
2022-10-05,RKIsurv,etsAAA,2021-06-20,LK,cases,99.40924629691801
2022-10-05,RKIsurv,etsAAA,2021-07-25,LK,cases,99.41790556650156
2022-10-05,RKIsurv,etsAAA,2021-06-13,LK,cases,99.44693353572026
2022-10-05,RKIsurv,etsAAA,2021-05-30,LK,cases,99.5633239816904
2022-10-05,RKIsurv,etsAAA,2021-07-18,LK,cases,99.74715007241566
2022-10-05,RKIsurv,etsAAA,2021-07-11,LK,cases,99.76968127023443
2022-10-05,RKIsurv,etsAAn,2021-05-23,LK,cases,105.69343784481876
2022-10-05,RKIsurv,etsAAn,2021-05-09,LK,cases,106.11172487980787
2022-10-05,RKIsurv,etsAAn,2021-07-25,LK,cases,106.1372230195686
2022-10-05,RKIsurv,etsAAn,2021-06-13,LK,cases,106.45534741162443
2022-10-05,RKIsurv,etsAAn,2021-06-06,LK,cases,106.51225095854781
2022-10-05,RKIsurv,etsAAn,2021-05-30,LK,cases,106.54730671671406
2022-10-05,RKIsurv,etsAAn,2021-07-18,LK,cases,106.69512464972935
2022-10-05,RKIsurv,etsAAn,2021-06-27,LK,cases,106.74979274782399
2022-10-05,RKIsurv,etsAAn,2021-06-20,LK,cases,106.86298563811779
2022-10-05,RKIsurv,etsAAn,2021-05-02,LK,cases,106.86525203560531
2022-10-05,RKIsurv,etsAAn,2021-07-11,LK,cases,106.89518680541217
2022-10-05,RKIsurv,etsAAn,2021-04-25,LK,cases,106.90718027054993
2022-10-05,RKIsurv,etsAAn,2021-05-16,LK,cases,107.31617034564678
2022-10-05,RKIsurv,etsAAn,2021-07-04,LK,cases,107.75472358617999
2022-10-05,RKIsurv,etsAAn,2021-04-18,LK,cases,107.81177220880221
