refdate,target,location,rmse,wis,dispersion,underprediction,overprediction,mae,mda,within_50,within_80,within_95
2021-06-27,2021-06-27,1001,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1,1,1
2021-06-27,2021-06-27,1002,1.22,1.11,0.00,0.00,1.11,1.22,1.00,0,0,0
2021-06-27,2021-06-27,1003,0.00,1.11,0.00,0.00,1.11,0.00,1.00,1,1,1
2021-06-27,2021-06-27,1004,1.25,1.11,0.00,0.00,1.11,1.25,1.00,0,0,0
2021-06-27,2021-06-27,1051,0.75,1.11,0.00,0.00,1.11,0.75,0.00,0,0,0
2021-06-27,2021-06-27,1053,0.50,1.11,0.00,0.00,1.11,0.50,1.00,0,0,0
2021-06-27,2021-06-27,1054,0.60,1.11,0.00,1.11,0.00,0.60,1.00,0,0,0
2021-06-27,2021-06-27,1055,0.00,3.33,0.00,3.33,0.00,0.00,1.00,1,1,1
2021-06-27,2021-06-27,1056,2.52,3.33,0.00,3.33,0.00,2.52,1.00,0,0,0
2021-06-27,2021-06-27,1057,0.77,3.33,0.00,3.33,0.00,0.77,1.00,0,0,0
2021-06-27,2021-06-27,1058,0.73,3.33,0.00,3.33,0.00,0.73,1.00,0,0,0
2021-06-27,2021-06-27,1059,0.00,3.33,0.00,3.33,0.00,0.00,0.00,0,0,0
2021-06-27,2021-06-27,1060,0.36,3.33,0.00,3.33,0.00,0.36,1.00,0,0,0
2021-06-27,2021-06-27,1061,0.00,4.44,0.00,4.44,0.00,0.00,1.00,1,1,1
2021-06-27,2021-06-27,1062,0.41,3.33,0.00,3.33,0.00,0.41,1.00,0,0,0
2021-06-27,2021-06-27,2000,0.54,3.33,0.00,3.33,0.00,0.54,1.00,0,0,0
2021-06-27,2021-06-27,3101,1.21,4.44,0.00,4.44,0.00,1.21,1.00,0,0,0
2021-06-27,2021-06-27,3102,0.96,4.44,0.00,4.44,0.00,0.96,1.00,0,0,0
2021-06-27,2021-06-27,3103,0.00,4.44,0.00,4.44,0.00,0.00,1.00,1,1,1
2021-06-27,2021-06-27,3151,1.13,5.55,0.00,5.55,0.00,1.13,1.00,0,0,0
2021-06-27,2021-06-27,3153,0.00,2.21,0.00,2.21,0.00,0.00,0.00,0,0,0
2021-06-27,2021-06-27,3154,0.00,3.33,0.00,3.32,0.00,0.00,1.00,1,1,1
2021-06-27,2021-06-27,3155,0.76,3.33,0.00,3.32,0.00,0.76,1.00,0,0,0
2021-06-27,2021-06-27,3157,0.74,3.32,0.00,3.32,0.00,0.74,1.00,0,0,0
2021-06-27,2021-06-27,3158,0.84,4.44,0.00,4.43,0.00,0.84,1.00,0,0,0
2021-06-27,2021-06-27,3159,0.00,8.88,0.00,8.88,0.00,0.00,1.00,1,1,1
2021-06-27,2021-06-27,3241,0.52,12.22,0.00,12.21,0.00,0.52,1.00,0,0,0
2021-06-27,2021-06-27,3251,0.00,20.00,0.00,20.00,0.00,0.00,1.00,1,1,1
2021-06-27,2021-06-27,3252,1.35,1.21,0.00,1.21,0.00,1.35,1.00,0,0,0
2021-06-27,2021-06-27,3254,1.09,0.81,0.00,0.81,0.00,1.09,1.00,0,0,0
2021-06-27,2021-06-27,3255,0.01,1.62,0.00,1.62,0.00,0.01,1.00,1,1,1
2021-06-27,2021-06-27,3256,0.00,1.21,0.00,1.21,0.00,0.00,1.00,1,1,1
2021-06-27,2021-06-27,3257,0.63,0.80,0.00,0.80,0.00,0.63,1.00,0,0,0
2021-06-27,2021-06-27,3351,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1,1,1
2021-06-27,2021-06-27,3352,0.50,0.39,0.00,0.00,0.39,0.50,0.00,0,0,0
2021-06-27,2021-06-27,3353,0.00,0.39,0.00,0.00,0.39,0.00,1.00,1,1,1
2021-06-27,2021-06-27,3354,0.00,0.80,0.01,0.79,0.00,0.00,0.00,0,0,0
2021-06-27,2021-06-27,3355,0.00,0.39,0.01,0.38,0.00,0.00,1.00,1,1,1
2021-06-27,2021-06-27,3356,0.87,0.39,0.01,0.38,0.00,0.87,1.00,0,0,0
2021-06-27,2021-06-27,3357,0.00,0.79,0.01,0.78,0.00,0.00,1.00,1,1,1
2021-06-27,2021-06-27,3358,0.00,1.19,0.01,1.19,0.00,0.00,0.00,0,0,0
2021-06-27,2021-06-27,3359,3.41,1.19,0.01,1.18,0.00,3.41,1.00,0,0,0
2021-06-27,2021-06-27,3360,0.00,2.00,0.01,1.99,0.00,0.00,1.00,1,1,1
2021-06-27,2021-06-27,3361,0.00,0.78,0.01,0.77,0.00,0.00,1.00,1,1,1
2021-06-27,2021-06-27,3401,1.29,2.00,0.01,1.99,0.00,1.29,1.00,0,0,0
2021-06-27,2021-06-27,3402,2.01,2.00,0.01,1.99,0.00,2.01,1.00,0,0,0
2021-06-27,2021-06-27,3403,0.00,3.21,0.01,3.20,0.00,0.00,1.00,1,1,1
2021-06-27,2021-06-27,3404,0.00,2.81,0.01,2.79,0.00,0.00,1.00,1,1,1
2021-06-27,2021-06-27,3405,0.00,4.02,0.01,4.01,0.00,0.00,0.00,0,0,0
2021-06-27,2021-06-27,3451,0.00,4.42,0.01,4.41,0.00,0.00,1.00,1,1,1
2021-06-27,2021-06-27,3452,1.58,5.64,0.01,5.63,0.00,1.58,1.00,0,0,0
2021-06-27,2021-06-27,3453,0.00,5.23,0.01,5.22,0.00,0.00,1.00,1,1,1
2021-06-27,2021-06-27,3454,0.61,7.66,0.02,7.65,0.00,0.61,1.00,0,0,0
2021-06-27,2021-06-27,3455,0.00,10.50,0.02,10.48,0.00,0.00,1.00,1,1,1
2021-06-27,2021-06-27,3456,0.73,14.96,0.02,14.94,0.00,0.73,1.00,0,0,0
2021-06-27,2021-06-27,3457,0.58,18.20,0.02,18.18,0.00,0.58,0.00,0,0,0
2021-06-27,2021-06-27,3458,1.52,0.00,0.00,0.00,0.00,1.52,1.00,0,0,0
2021-06-27,2021-06-27,3459,0.28,0.46,0.00,0.46,0.00,0.28,1.00,0,0,0
2021-06-27,2021-06-27,3460,0.00,1.39,0.00,1.39,0.00,0.00,1.00,1,1,1
2021-06-27,2021-06-27,3461,0.00,1.39,0.00,1.39,0.00,0.00,0.00,0,0,0
2021-06-27,2021-06-27,3462,0.00,2.78,0.00,2.78,0.00,0.00,1.00,1,1,1
2021-06-27,2021-06-27,4011,0.88,3.70,0.00,3.70,0.00,0.88,1.00,0,0,0
2021-06-27,2021-06-27,4012,0.00,4.63,0.00,4.63,0.00,0.00,0.00,0,0,0
2021-06-27,2021-06-27,5111,0.00,4.63,0.00,4.63,0.00,0.00,1.00,1,1,1
2021-06-27,2021-06-27,5112,1.61,6.02,0.00,6.02,0.00,1.61,1.00,0,0,0
2021-06-27,2021-06-27,5113,1.72,4.63,0.00,4.63,0.00,1.72,1.00,0,0,0
2021-06-27,2021-06-27,5114,0.44,6.02,0.00,6.01,0.00,0.44,1.00,0,0,0
2021-06-27,2021-06-27,5116,1.16,5.55,0.00,5.55,0.00,1.16,1.00,0,0,0
2021-06-27,2021-06-27,5117,1.17,4.63,0.00,4.62,0.00,1.17,1.00,0,0,0
2021-06-27,2021-06-27,5119,3.34,4.62,0.00,4.62,0.00,3.34,1.00,0,0,0
2021-06-27,2021-06-27,5120,0.90,4.62,0.00,4.62,0.00,0.90,1.00,0,0,0
2021-06-27,2021-06-27,5122,0.63,4.62,0.00,4.62,0.00,0.63,1.00,0,0,0
2021-06-27,2021-06-27,5124,0.56,7.40,0.00,7.40,0.00,0.56,1.00,0,0,0
2021-06-27,2021-06-27,5154,0.32,7.87,0.00,7.86,0.00,0.32,1.00,0,0,0
2021-06-27,2021-06-27,5158,0.41,7.40,0.00,7.40,0.00,0.41,1.00,0,0,0
2021-06-27,2021-06-27,5162,0.01,11.11,0.00,11.10,0.00,0.00,1.00,1,1,1
2021-06-27,2021-06-27,5166,0.33,10.64,0.00,10.64,0.00,0.33,1.00,0,0,0
2021-06-27,2021-06-27,5170,0.87,10.64,0.00,10.64,0.00,0.87,1.00,0,0,0
2021-06-27,2021-06-27,5314,1.21,12.03,0.00,12.03,0.00,1.21,1.00,0,0,0
2021-06-27,2021-06-27,5315,0.55,14.81,0.00,14.81,0.00,0.55,1.00,0,0,0
2021-06-27,2021-06-27,5316,1.22,16.20,0.01,16.20,0.00,1.22,1.00,0,0,0
2021-06-27,2021-06-27,5334,0.36,18.98,0.01,18.97,0.00,0.36,1.00,0,0,0
2021-06-27,2021-06-27,5358,0.00,18.05,0.01,18.05,0.00,0.00,1.00,1,1,1
2021-06-27,2021-06-27,5362,0.85,19.91,0.01,19.90,0.00,0.85,1.00,0,0,0
2021-06-27,2021-06-27,5366,1.03,1.25,0.00,1.25,0.00,1.03,1.00,0,0,0
2021-06-27,2021-06-27,5370,0.78,1.25,0.00,1.25,0.00,0.78,1.00,0,0,0
2021-06-27,2021-06-27,5374,1.47,1.25,0.00,0.00,1.24,1.47,1.00,0,0,0
2021-06-27,2021-06-27,5378,1.77,2.49,0.00,0.00,2.49,1.77,1.00,0,0,0
2021-06-27,2021-06-27,5382,0.50,3.74,0.00,0.00,3.74,0.50,1.00,0,0,0
2021-06-27,2021-06-27,5512,1.70,3.74,0.00,0.00,3.74,1.70,1.00,0,0,0
2021-06-27,2021-06-27,5513,0.00,2.49,0.01,0.00,2.48,0.00,1.00,1,1,1
2021-06-27,2021-06-27,5515,0.00,2.49,0.01,0.00,2.48,0.00,1.00,1,1,1
2021-06-27,2021-06-27,5554,0.27,1.23,0.01,0.00,1.23,0.27,1.00,0,0,0
2021-06-27,2021-06-27,5558,0.00,3.73,0.01,3.73,0.00,0.00,1.00,1,1,1
2021-06-27,2021-06-27,5562,0.16,13.74,0.01,13.74,0.00,0.16,1.00,0,0,0
2021-06-27,2021-06-27,5566,0.22,13.74,0.01,13.73,0.00,0.22,1.00,0,0,0
2021-06-27,2021-06-27,5570,0.00,14.99,0.01,14.98,0.00,0.00,1.00,1,1,1
2021-06-27,2021-06-27,5711,0.30,14.99,0.01,14.98,0.00,0.30,1.00,0,0,0
2021-06-27,2021-06-27,5754,0.82,17.49,0.01,17.48,0.00,0.82,1.00,0,0,0
2021-06-27,2021-06-27,5758,1.20,17.49,0.01,17.48,0.00,1.20,1.00,0,0,0
2021-06-27,2021-06-27,5762,0.00,21.24,0.01,21.23,0.00,0.00,0.00,0,0,0
2021-06-27,2021-06-27,5766,0.58,12.48,0.01,12.46,0.00,0.58,1.00,0,0,0
2021-06-27,2021-06-27,5770,0.32,16.23,0.01,16.22,0.00,0.32,1.00,0,0,0
2021-06-27,2021-06-27,5774,0.32,19.98,0.01,19.97,0.00,0.32,1.00,0,0,0
2021-06-27,2021-06-27,5911,0.00,17.48,0.02,17.46,0.00,0.00,1.00,1,1,1
2021-06-27,2021-06-27,5913,2.38,17.48,0.02,17.46,0.00,2.38,1.00,0,0,0
2021-06-27,2021-06-27,5914,4.24,16.22,0.02,16.20,0.00,4.24,1.00,0,0,0
2021-06-27,2021-06-27,5915,2.79,8.71,0.02,8.69,0.00,2.79,1.00,0,0,0
2021-06-27,2021-06-27,5916,1.91,11.21,0.02,11.19,0.00,1.91,1.00,0,0,0
2021-06-27,2021-06-27,5954,0.31,12.46,0.02,12.44,0.00,0.31,1.00,0,0,0
