refdate,target,location,rmse,wis,dispersion,underprediction,overprediction,mae,mda,within_50,within_80,within_95
2024-04-21,2024-05-10,8126.00,0.90,0.56,0.00,0.56,0.00,0.90,1.00,0,0,0
2024-04-21,2024-05-10,8127.00,0.47,0.34,0.00,0.00,0.34,0.47,1.00,0,0,0
2024-04-21,2024-05-10,8128.00,0.77,0.34,0.00,0.00,0.34,0.77,1.00,0,0,0
2024-04-21,2024-05-10,8135.00,1.50,0.34,0.00,0.00,0.34,1.50,0.00,0,0,0
2024-04-21,2024-05-10,8136.00,1.00,0.34,0.00,0.00,0.34,1.00,0.00,0,0,0
2024-04-21,2024-05-10,8211.00,1.86,0.34,0.00,0.00,0.34,1.86,0.00,0,0,0
2024-04-21,2024-05-10,8212.00,0.35,0.34,0.00,0.00,0.34,0.35,1.00,0,0,0
2024-04-21,2024-05-10,8215.00,0.39,1.31,0.00,1.31,0.00,0.39,1.00,0,0,0
2024-04-21,2024-05-10,8216.00,0.43,1.33,0.00,1.33,0.00,0.43,0.00,0,0,0
2024-04-21,2024-05-10,8221.00,0.71,1.33,0.00,1.33,0.00,0.70,1.00,0,0,0
2024-04-21,2024-05-10,8222.00,0.60,1.33,0.00,1.33,0.00,0.60,0.00,0,0,0
2024-04-21,2024-05-10,8225.00,0.70,1.33,0.00,1.33,0.00,0.70,0.00,0,0,0
2024-04-21,2024-05-10,8226.00,0.40,0.03,0.00,0.03,0.00,0.40,0.00,0,0,0
2024-04-21,2024-05-10,8231.00,0.00,0.03,0.00,0.03,0.00,0.00,0.00,0,0,0
2024-04-21,2024-05-10,8235.00,0.00,0.02,0.00,0.02,0.00,0.00,0.00,0,0,0
2024-04-21,2024-05-10,8236.00,0.72,0.02,0.00,0.02,0.00,0.72,0.00,0,0,0
2024-04-21,2024-05-10,8237.00,0.13,1.31,0.00,1.31,0.00,0.13,0.00,0,0,0
2024-04-21,2024-05-10,8311.00,0.85,1.30,0.00,1.30,0.00,0.85,1.00,0,0,0
2024-04-21,2024-05-10,8315.00,1.00,1.30,0.00,1.30,0.00,1.00,1.00,0,0,0
2024-04-21,2024-05-10,8316.00,0.05,1.29,0.00,1.29,0.00,0.05,0.00,0,0,0
2024-04-21,2024-05-10,8317.00,0.61,1.28,0.00,1.28,0.00,0.61,0.00,0,0,0
2024-04-21,2024-05-10,8325.00,0.76,1.28,0.00,1.28,0.00,0.76,0.00,0,0,0
2024-04-21,2024-05-10,8326.00,1.12,1.27,0.00,1.27,0.00,1.12,0.00,0,0,0
2024-04-21,2024-05-10,8327.00,0.00,0.04,0.00,0.00,0.04,0.00,0.00,0,0,0
2024-04-21,2024-05-10,8335.00,0.09,1.25,0.00,1.25,0.00,0.09,1.00,0,0,0
2024-04-21,2024-05-10,8336.00,0.08,1.25,0.00,1.25,0.00,0.08,0.00,0,0,0
2024-04-21,2024-05-10,8337.00,1.76,1.24,0.00,1.24,0.00,1.76,1.00,0,0,0
2024-04-21,2024-05-10,8415.00,0.30,1.23,0.00,1.23,0.00,0.30,0.00,0,0,0
2024-04-21,2024-05-10,8416.00,1.31,1.22,0.00,1.22,0.00,1.31,0.00,0,0,0
2024-04-21,2024-05-10,8417.00,0.50,1.22,0.00,1.22,0.00,0.50,0.00,0,0,0
2024-04-21,2024-05-10,8421.00,2.51,0.03,0.00,0.03,0.00,2.51,0.00,0,0,0
2024-04-21,2024-05-10,8425.00,0.00,0.04,0.00,0.04,0.00,0.00,0.00,0,0,0
2024-04-21,2024-05-10,8426.00,1.00,0.05,0.00,0.05,0.00,1.00,0.00,0,0,0
2024-04-21,2024-05-10,8435.00,0.00,0.05,0.00,0.05,0.00,0.00,0.00,0,0,0
2024-04-21,2024-05-10,8436.00,0.32,0.05,0.00,0.05,0.00,0.32,0.00,0,0,0
2024-04-21,2024-05-10,8437.00,0.09,0.04,0.00,0.04,0.00,0.09,0.00,0,0,0
2024-04-21,2024-05-10,9161.00,0.00,0.04,0.00,0.04,0.00,0.00,0.00,0,0,0
2024-04-21,2024-05-10,9162.00,1.28,0.03,0.00,0.03,0.00,1.28,1.00,0,0,0
2024-04-21,2024-05-10,9163.00,1.41,0.02,0.00,0.02,0.00,1.41,1.00,0,0,0
2024-04-21,2024-05-10,9171.00,0.16,0.01,0.00,0.01,0.00,0.16,0.00,0,0,0
2024-04-21,2024-05-10,9172.00,0.93,0.00,0.00,0.00,0.00,0.93,0.00,0,0,0
2024-04-21,2024-05-10,9173.00,0.64,0.01,0.00,0.00,0.01,0.64,1.00,0,0,0
2024-04-21,2024-05-10,9174.00,0.00,0.88,0.00,0.88,0.00,0.00,0.00,0,0,0
2024-04-21,2024-05-10,9175.00,1.39,0.87,0.00,0.87,0.00,1.39,1.00,0,0,0
2024-04-21,2024-05-10,9176.00,0.73,0.86,0.00,0.86,0.00,0.73,0.00,0,0,0
2024-04-21,2024-05-10,9177.00,0.00,0.84,0.00,0.84,0.00,0.00,0.00,0,0,0
2024-04-21,2024-05-10,9178.00,0.41,0.83,0.00,0.83,0.00,0.41,1.00,0,0,0
2024-04-21,2024-05-10,9179.00,0.90,0.82,0.00,0.82,0.00,0.90,0.00,0,0,0
2024-04-21,2024-05-10,9180.00,0.11,0.81,0.00,0.81,0.00,0.11,0.00,0,0,0
2024-04-21,2024-05-10,9181.00,0.78,0.10,0.00,0.00,0.10,0.78,1.00,0,0,0
2024-04-21,2024-05-10,9182.00,0.17,0.11,0.00,0.00,0.11,0.17,0.00,0,0,0
2024-04-21,2024-05-10,9183.00,2.68,0.12,0.00,0.00,0.12,2.68,0.00,0,0,0
2024-04-21,2024-05-10,9184.00,0.68,0.13,0.00,0.00,0.13,0.68,1.00,0,0,0
2024-04-21,2024-05-10,9185.00,2.00,0.46,0.00,0.46,0.00,2.00,0.00,0,0,0
2024-04-21,2024-05-10,9186.00,0.16,0.45,0.00,0.45,0.00,0.16,0.00,0,0,0
2024-04-21,2024-05-10,9187.00,0.80,0.45,0.00,0.45,0.00,0.80,0.00,0,0,0
2024-04-21,2024-05-10,9188.00,0.07,0.44,0.00,0.44,0.00,0.07,0.00,0,0,0
2024-04-21,2024-05-10,9189.00,0.70,0.44,0.00,0.44,0.00,0.70,0.00,0,0,0
2024-04-21,2024-05-10,9190.00,0.06,0.44,0.00,0.44,0.00,0.06,0.00,0,0,0
2024-04-21,2024-05-10,9261.00,0.04,0.45,0.00,0.45,0.00,0.04,0.00,0,0,0
2024-04-21,2024-05-10,9262.00,1.99,0.45,0.00,0.45,0.00,1.99,0.00,0,0,0
2024-04-21,2024-05-10,9263.00,2.10,0.46,0.00,0.46,0.00,2.10,0.00,0,0,0
2024-04-21,2024-05-10,9271.00,0.77,0.14,0.00,0.00,0.14,0.77,1.00,0,0,0
2024-04-21,2024-05-10,9272.00,0.10,0.13,0.00,0.00,0.13,0.10,0.00,0,0,0
2024-04-21,2024-05-10,9273.00,0.73,0.12,0.00,0.00,0.12,0.73,1.00,0,0,0
2024-04-21,2024-05-10,9274.00,0.00,0.12,0.00,0.00,0.12,0.00,0.00,0,0,0
2024-04-21,2024-05-10,9275.00,1.00,0.12,0.00,0.00,0.12,1.00,0.00,0,0,0
2024-04-21,2024-05-10,9276.00,3.87,0.11,0.00,0.00,0.11,3.87,1.00,0,0,0
2024-04-21,2024-05-10,9277.00,0.80,0.11,0.00,0.00,0.11,0.80,0.00,0,0,0
2024-04-21,2024-05-10,9278.00,5.11,0.11,0.00,0.00,0.11,5.11,0.00,0,0,0
2024-04-21,2024-05-10,9279.00,0.00,0.11,0.00,0.00,0.11,0.00,0.00,0,0,0
2024-04-21,2024-05-10,9361.00,2.40,0.11,0.00,0.00,0.11,2.40,0.00,0,0,0
2024-04-21,2024-05-10,9362.00,1.83,0.11,0.00,0.00,0.11,1.83,1.00,0,0,0
2024-04-21,2024-05-10,9363.00,4.67,0.11,0.00,0.00,0.11,4.67,1.00,0,0,0
2024-04-21,2024-05-10,9371.00,1.00,0.11,0.00,0.00,0.11,1.00,0.00,0,0,0
2024-04-21,2024-05-10,9372.00,0.84,0.11,0.00,0.00,0.11,0.84,0.00,0,0,0
2024-04-21,2024-05-10,9373.00,0.85,0.12,0.00,0.00,0.12,0.85,0.00,0,0,0
2024-04-21,2024-05-10,9374.00,2.10,0.11,0.00,0.00,0.11,2.10,0.00,0,0,0
2024-04-21,2024-05-10,9375.00,3.60,0.10,0.00,0.00,0.10,3.60,1.00,0,0,0
