refdate,target,location,rmse,wis,dispersion,underprediction,overprediction,mae,mda,within_50,within_80,within_95
2022-01-30,2022-01-30,1001.00,3624.79,3578.78,7.48,0.00,3571.30,3621.97,1.00,0,0,0
2022-01-30,2022-01-30,1001.00,3624.79,3578.78,7.48,0.00,3571.30,3621.97,1.00,0,0,0
2022-01-30,2022-01-31,1001.00,3597.75,3377.15,9.33,0.00,3367.82,3594.81,1.00,0,0,0
2022-01-30,2022-01-31,1001.00,3597.75,3377.15,9.33,0.00,3367.82,3594.81,1.00,0,0,0
2022-01-30,2022-02-01,1001.00,3601.18,3559.03,6.92,0.00,3552.12,3598.05,1.00,0,0,0
2022-01-30,2022-02-01,1001.00,3601.18,3559.03,6.92,0.00,3552.12,3598.05,1.00,0,0,0
2022-01-30,2022-02-02,1001.00,3555.70,3661.64,7.06,0.00,3654.58,3552.17,1.00,0,0,0
2022-01-30,2022-02-02,1001.00,3555.70,3661.64,7.06,0.00,3654.58,3552.17,1.00,0,0,0
2022-01-30,2022-02-03,1001.00,3537.20,3533.74,11.42,0.00,3522.32,3533.23,1.00,0,0,0
2022-01-30,2022-02-03,1001.00,3537.20,3533.74,11.42,0.00,3522.32,3533.23,1.00,0,0,0
2022-01-30,2022-02-04,1001.00,3541.41,3343.14,11.72,0.00,3331.43,3537.10,1.00,0,0,0
2022-01-30,2022-02-04,1001.00,3541.41,3343.14,11.72,0.00,3331.43,3537.10,1.00,0,0,0
2022-01-30,2022-02-05,1001.00,3536.98,3171.68,6.13,0.00,3165.55,3532.27,1.00,0,0,0
2022-01-30,2022-02-05,1001.00,3536.98,3171.68,6.13,0.00,3165.55,3532.27,1.00,0,0,0
2022-01-30,2022-02-06,1001.00,3581.28,3527.38,7.19,0.00,3520.19,3576.25,1.00,0,0,0
2022-01-30,2022-02-06,1001.00,3581.28,3527.38,7.19,0.00,3520.19,3576.25,1.00,0,0,0
2022-01-30,2022-02-07,1001.00,3612.90,3083.58,8.76,0.00,3074.82,3607.60,1.00,0,0,0
2022-01-30,2022-02-07,1001.00,3612.90,3083.58,8.76,0.00,3074.82,3607.60,1.00,0,0,0
2022-01-30,2022-02-08,1001.00,3635.34,3417.11,12.60,0.00,3404.51,3629.39,1.00,0,0,0
2022-01-30,2022-02-08,1001.00,3635.34,3417.11,12.60,0.00,3404.51,3629.39,1.00,0,0,0
2022-01-30,2022-02-09,1001.00,3698.56,3744.06,7.67,0.00,3736.40,3691.60,1.00,0,0,0
2022-01-30,2022-02-09,1001.00,3698.56,3744.06,7.67,0.00,3736.40,3691.60,1.00,0,0,0
2022-01-30,2022-02-10,1001.00,3705.07,3848.50,13.14,0.00,3835.37,3697.44,1.00,0,0,0
2022-01-30,2022-02-10,1001.00,3705.07,3848.50,13.14,0.00,3835.37,3697.44,1.00,0,0,0
2022-01-30,2022-02-11,1001.00,3730.34,3306.39,13.87,0.00,3292.51,3721.83,1.00,0,0,0
2022-01-30,2022-02-11,1001.00,3730.34,3306.39,13.87,0.00,3292.51,3721.83,1.00,0,0,0
2022-01-30,2022-02-12,1001.00,3712.18,2834.40,11.14,0.00,2823.25,3703.20,1.00,0,0,0
2022-01-30,2022-02-12,1001.00,3712.18,2834.40,11.14,0.00,2823.25,3703.20,1.00,0,0,0
2022-01-30,2022-02-13,1001.00,3694.03,3060.54,7.43,0.00,3053.11,3684.05,1.00,0,0,0
2022-01-30,2022-02-13,1001.00,3694.03,3060.54,7.43,0.00,3053.11,3684.05,1.00,0,0,0
2022-01-30,2022-02-14,1001.00,3696.13,3276.98,12.76,0.00,3264.23,3685.09,1.00,0,0,0
2022-01-30,2022-02-14,1001.00,3696.13,3276.98,12.76,0.00,3264.23,3685.09,1.00,0,0,0
2022-01-30,2022-02-15,1001.00,3702.46,3163.62,9.69,0.00,3153.92,3691.49,1.00,0,0,0
2022-01-30,2022-02-15,1001.00,3702.46,3163.62,9.69,0.00,3153.92,3691.49,1.00,0,0,0
2022-01-30,2022-02-16,1001.00,3677.11,3592.06,8.96,0.00,3583.10,3666.01,1.00,0,0,0
2022-01-30,2022-02-16,1001.00,3677.11,3592.06,8.96,0.00,3583.10,3666.01,1.00,0,0,0
2022-01-30,2022-02-17,1001.00,3638.47,2964.85,8.43,0.00,2956.42,3626.08,1.00,0,0,0
2022-01-30,2022-02-17,1001.00,3638.47,2964.85,8.43,0.00,2956.42,3626.08,1.00,0,0,0
2022-01-30,2022-02-18,1001.00,3554.09,3008.11,7.77,0.00,3000.34,3540.23,1.00,0,0,0
2022-01-30,2022-02-18,1001.00,3554.09,3008.11,7.77,0.00,3000.34,3540.23,1.00,0,0,0
2022-01-30,2022-02-19,1001.00,3524.54,2762.59,7.46,0.00,2755.13,3510.13,1.00,0,0,0
2022-01-30,2022-02-19,1001.00,3524.54,2762.59,7.46,0.00,2755.13,3510.13,1.00,0,0,0
2022-01-30,2022-02-20,1001.00,3462.78,2760.22,14.42,0.00,2745.80,3447.70,1.00,0,0,0
2022-01-30,2022-02-20,1001.00,3462.78,2760.22,14.42,0.00,2745.80,3447.70,1.00,0,0,0
2022-01-30,2022-02-21,1001.00,3401.27,2689.55,11.46,0.00,2678.09,3385.10,1.00,0,0,0
2022-01-30,2022-02-21,1001.00,3401.27,2689.55,11.46,0.00,2678.09,3385.10,1.00,0,0,0
2022-01-30,2022-02-22,1001.00,3308.27,3222.24,9.53,0.00,3212.71,3290.96,1.00,0,0,0
2022-01-30,2022-02-22,1001.00,3308.27,3222.24,9.53,0.00,3212.71,3290.96,1.00,0,0,0
2022-01-30,2022-02-23,1001.00,3191.47,3567.52,8.01,0.00,3559.50,3173.70,1.00,0,0,0
2022-01-30,2022-02-23,1001.00,3191.47,3567.52,8.01,0.00,3559.50,3173.70,1.00,0,0,0
2022-01-30,2022-02-24,1001.00,3178.44,3371.72,9.95,0.00,3361.77,3161.86,1.00,0,0,0
2022-01-30,2022-02-24,1001.00,3178.44,3371.72,9.95,0.00,3361.77,3161.86,1.00,0,0,0
2022-01-30,2022-02-25,1001.00,3253.95,3069.59,11.80,0.00,3057.80,3238.65,1.00,0,0,0
2022-01-30,2022-02-25,1001.00,3253.95,3069.59,11.80,0.00,3057.80,3238.65,1.00,0,0,0
2022-01-30,2022-02-26,1001.00,3415.96,3656.26,14.97,0.00,3641.29,3401.57,1.00,0,0,0
2022-01-30,2022-02-26,1001.00,3415.96,3656.26,14.97,0.00,3641.29,3401.57,1.00,0,0,0
2022-01-30,2022-01-30,1002.00,3958.56,3550.97,7.53,0.00,3543.44,3956.16,1.00,0,0,0
2022-01-30,2022-01-30,1002.00,3958.56,3550.97,7.53,0.00,3543.44,3956.16,1.00,0,0,0
2022-01-30,2022-01-31,1002.00,3936.93,3418.25,9.40,0.00,3408.84,3934.44,1.00,0,0,0
2022-01-30,2022-01-31,1002.00,3936.93,3418.25,9.40,0.00,3408.84,3934.44,1.00,0,0,0
2022-01-30,2022-02-01,1002.00,3983.10,3550.93,7.28,0.00,3543.65,3980.54,1.00,0,0,0
