refdate,target,location,rmse,wis,dispersion,underprediction,overprediction,mae,mda,within_50,within_80,within_95
2023-02-12,2023-02-12,1,55.94,28.39,5.54,0.00,22.85,48.68,0.99,0,0,1
2023-02-12,2023-02-12,2,47.98,39.47,5.29,0.00,34.18,45.85,1.00,0,0,0
2023-02-12,2023-02-12,3,100.35,40.38,4.57,0.00,35.81,95.99,1.00,0,0,0
2023-02-12,2023-02-12,4,60.32,26.12,5.34,0.00,20.77,55.23,1.00,0,0,1
2023-02-12,2023-02-12,5,59.25,19.71,5.17,0.00,14.54,56.49,1.00,0,0,0
2023-02-12,2023-02-12,6,27.82,13.73,5.50,0.00,8.23,25.22,1.00,0,0,0
2023-02-12,2023-02-12,7,24.37,10.21,5.09,0.00,5.12,21.42,1.00,0,0,1
2023-02-12,2023-02-12,8,29.24,10.28,5.48,0.00,4.80,28.16,1.00,0,0,0
2023-02-12,2023-02-12,9,17.53,10.69,5.55,0.00,5.14,13.62,1.00,0,1,1
2023-02-12,2023-02-12,10,26.30,9.59,5.45,0.00,4.14,22.47,1.00,0,0,1
2023-02-12,2023-02-12,11,35.45,6.54,5.38,0.00,1.16,30.97,1.00,0,0,1
2023-02-12,2023-02-12,12,52.56,8.81,5.84,0.00,2.97,46.89,1.00,0,0,1
2023-02-12,2023-02-12,13,63.13,16.72,5.09,0.00,11.63,58.10,1.00,0,0,0
2023-02-12,2023-02-12,14,31.36,20.10,6.03,0.00,14.07,30.53,0.99,0,0,0
2023-02-12,2023-02-12,15,24.95,19.12,5.82,0.00,13.30,22.21,1.00,0,0,1
2023-02-12,2023-02-12,16,17.07,36.04,2.89,0.00,33.15,15.30,1.00,0,0,0
2023-02-12,2023-02-13,1,65.81,39.00,2.58,0.00,36.42,60.23,1.00,0,0,1
2023-02-12,2023-02-13,2,50.50,42.81,2.69,0.00,40.12,48.71,1.00,0,0,0
2023-02-12,2023-02-13,3,109.86,33.69,3.94,0.00,29.75,106.20,1.00,0,0,0
2023-02-12,2023-02-13,4,69.87,26.58,3.38,0.00,23.20,62.41,1.00,0,0,1
2023-02-12,2023-02-13,5,75.14,13.02,3.23,0.00,9.79,71.66,1.00,0,0,0
2023-02-12,2023-02-13,6,38.92,7.77,3.09,0.00,4.68,37.62,1.00,0,0,0
2023-02-12,2023-02-13,7,36.41,7.21,2.88,0.00,4.33,33.82,1.00,0,0,0
2023-02-12,2023-02-13,8,36.67,6.55,3.10,0.00,3.46,34.69,1.00,0,0,0
2023-02-12,2023-02-13,9,24.43,3.33,3.25,0.00,0.07,20.26,1.00,0,0,0
2023-02-12,2023-02-13,10,34.46,3.46,2.56,0.90,0.00,32.66,1.00,0,0,0
2023-02-12,2023-02-13,11,41.17,3.30,2.90,0.39,0.00,36.98,1.00,0,0,0
2023-02-12,2023-02-13,12,61.81,3.62,2.83,0.00,0.79,55.41,1.00,0,0,1
2023-02-12,2023-02-13,13,65.71,6.14,3.04,0.00,3.10,60.95,1.00,0,0,0
2023-02-12,2023-02-13,14,29.04,9.18,3.20,0.00,5.98,28.41,1.00,0,0,0
2023-02-12,2023-02-13,15,33.77,75.04,6.15,0.00,68.89,31.48,1.00,0,0,0
2023-02-12,2023-02-13,16,21.69,85.23,6.27,0.00,78.95,20.18,1.00,0,0,0
2023-02-12,2023-02-14,1,64.08,77.25,6.42,0.00,70.83,59.71,1.00,0,0,1
2023-02-12,2023-02-14,2,55.95,56.85,6.82,0.00,50.03,53.77,1.00,0,0,0
2023-02-12,2023-02-14,3,101.95,36.29,5.74,0.00,30.55,97.48,1.00,0,0,0
2023-02-12,2023-02-14,4,56.49,20.55,5.73,0.00,14.81,50.63,1.00,0,0,1
2023-02-12,2023-02-14,5,75.47,12.53,6.77,0.00,5.76,73.47,1.00,0,0,0
2023-02-12,2023-02-14,6,42.10,8.96,6.24,0.00,2.72,41.13,1.00,0,0,0
2023-02-12,2023-02-14,7,40.37,7.32,6.26,0.00,1.06,38.33,1.00,0,0,0
2023-02-12,2023-02-14,8,34.04,4.53,4.50,0.02,0.00,33.16,1.00,0,0,0
2023-02-12,2023-02-14,9,21.41,6.45,6.08,0.00,0.37,19.38,1.00,0,0,1
2023-02-12,2023-02-14,10,38.44,7.04,4.87,0.00,2.17,36.09,1.00,0,0,0
2023-02-12,2023-02-14,11,33.54,12.97,6.54,0.00,6.43,29.33,1.00,0,0,1
2023-02-12,2023-02-14,12,64.15,23.09,5.97,0.00,17.12,57.55,1.00,0,0,0
2023-02-12,2023-02-14,13,68.66,23.43,6.16,0.00,17.27,63.68,1.00,0,0,0
2023-02-12,2023-02-14,14,28.71,34.55,5.18,0.00,29.36,27.77,1.00,0,0,0
2023-02-12,2023-02-14,15,42.18,38.95,6.44,0.00,32.51,39.87,1.00,0,0,0
2023-02-12,2023-02-14,16,20.63,30.46,6.11,0.00,24.36,19.15,1.00,0,0,0
2023-02-12,2023-02-15,1,51.64,26.45,5.44,0.00,21.01,44.99,1.00,0,0,1
2023-02-12,2023-02-15,2,50.94,10.66,6.59,0.00,4.07,47.53,1.00,0,0,0
2023-02-12,2023-02-15,3,83.07,7.47,6.92,0.00,0.55,78.06,1.00,0,0,0
2023-02-12,2023-02-15,4,53.71,6.66,5.62,0.00,1.03,46.23,1.00,0,0,1
2023-02-12,2023-02-15,5,72.62,12.08,8.17,0.00,3.91,70.67,1.00,0,0,0
2023-02-12,2023-02-15,6,37.30,7.31,7.14,0.00,0.17,35.46,1.00,0,0,0
2023-02-12,2023-02-15,7,32.62,9.07,7.17,0.00,1.90,29.45,1.00,0,0,0
2023-02-12,2023-02-15,8,32.42,6.29,6.19,0.11,0.00,31.31,1.00,0,0,0
2023-02-12,2023-02-15,9,18.21,5.60,5.50,0.00,0.09,15.82,1.00,0,0,1
2023-02-12,2023-02-15,10,25.57,13.75,7.21,0.00,6.55,21.82,1.00,0,0,1
2023-02-12,2023-02-15,11,27.78,18.05,7.32,0.00,10.73,22.40,1.00,0,1,1
2023-02-12,2023-02-15,12,50.91,17.93,6.14,0.00,11.79,45.35,1.00,0,0,1
2023-02-12,2023-02-15,13,62.20,43.39,4.07,0.00,39.32,56.92,1.00,0,0,0
2023-02-12,2023-02-15,14,26.43,53.96,3.97,0.00,49.99,25.26,1.00,0,0,0
2023-02-12,2023-02-15,15,34.05,60.39,3.74,0.00,56.65,30.89,1.00,0,0,0
2023-02-12,2023-02-15,16,17.38,59.26,3.47,0.00,55.80,14.81,1.00,0,0,1
2023-02-12,2023-02-16,1,41.62,42.58,3.29,0.00,39.30,36.07,1.00,0,0,1
2023-02-12,2023-02-16,2,41.07,31.21,4.90,0.00,26.31,38.02,1.00,0,0,0
2023-02-12,2023-02-16,3,63.10,41.20,3.37,0.00,37.83,57.29,1.00,0,0,1
2023-02-12,2023-02-16,4,39.65,37.25,4.01,0.00,33.23,31.03,0.99,0,1,1
2023-02-12,2023-02-16,5,58.99,29.71,4.01,0.00,25.70,56.30,1.00,0,0,0
2023-02-12,2023-02-16,6,31.36,32.54,4.54,0.00,28.01,28.21,1.00,0,0,0
2023-02-12,2023-02-16,7,26.53,19.44,3.80,0.00,15.64,22.45,1.00,0,0,1
2023-02-12,2023-02-16,8,28.73,16.12,4.27,0.00,11.84,27.31,1.00,0,0,0
2023-02-12,2023-02-16,9,14.46,12.28,4.54,0.00,7.73,11.92,1.00,0,1,1
2023-02-12,2023-02-16,10,14.36,6.95,4.35,0.00,2.60,11.86,1.00,1,1,1
2023-02-12,2023-02-16,11,24.83,5.19,5.02,0.00,0.17,19.88,1.00,0,1,1
2023-02-12,2023-02-16,12,32.64,17.55,2.00,0.00,15.56,26.40,1.00,0,1,1
2023-02-12,2023-02-16,13,34.56,29.87,2.14,0.00,27.73,28.33,1.00,0,1,1
2023-02-12,2023-02-16,14,23.94,34.90,1.74,0.00,33.17,21.52,1.00,0,0,0
2023-02-12,2023-02-16,15,19.30,26.68,2.25,0.00,24.43,15.98,1.00,0,1,1
2023-02-12,2023-02-16,16,10.62,18.36,2.52,0.00,15.84,8.63,1.00,0,1,1
2023-02-12,2023-02-17,1,37.18,15.19,2.21,0.00,12.98,30.71,0.99,0,1,1
2023-02-12,2023-02-17,2,26.16,11.78,2.18,0.00,9.60,22.84,1.00,0,0,1
2023-02-12,2023-02-17,3,46.26,12.99,1.54,0.00,11.44,39.91,1.00,0,1,1
2023-02-12,2023-02-17,4,37.90,6.74,2.14,0.00,4.60,28.53,1.00,1,1,1
2023-02-12,2023-02-17,5,51.92,1.73,1.72,0.00,0.00,47.34,1.00,0,0,0
2023-02-12,2023-02-17,6,24.44,3.47,1.91,1.56,0.00,22.23,1.00,0,0,0
2023-02-12,2023-02-17,7,17.91,3.06,1.64,1.43,0.00,14.51,1.00,0,1,1
