refdate,target,location,rmse,wis,dispersion,underprediction,overprediction,mae,mda,within_50,within_80,within_95
2022-02-27,2022-02-27,1,0.25,0.11,0.03,0.00,0.07,0.22,1.00,0,1,1
2022-02-27,2022-02-27,2,0.25,0.08,0.03,0.00,0.04,0.21,1.00,0,0,1
2022-02-27,2022-02-27,3,0.25,0.08,0.04,0.00,0.04,0.22,1.00,0,1,1
2022-02-27,2022-02-27,4,0.28,0.05,0.04,0.00,0.01,0.24,1.00,0,0,1
2022-02-27,2022-02-27,5,0.33,0.04,0.03,0.00,0.01,0.30,1.00,0,0,1
2022-02-27,2022-02-27,6,0.29,0.04,0.03,0.00,0.01,0.25,1.00,0,0,1
2022-02-27,2022-02-27,7,0.34,0.05,0.04,0.00,0.02,0.30,1.00,0,0,1
2022-02-27,2022-02-27,8,0.31,0.05,0.03,0.00,0.02,0.27,1.00,0,0,1
2022-02-27,2022-02-27,9,0.37,0.04,0.03,0.00,0.00,0.33,1.00,0,0,1
2022-02-27,2022-02-27,10,0.24,0.04,0.03,0.00,0.01,0.20,1.00,0,1,1
2022-02-27,2022-02-27,11,0.39,0.04,0.04,0.00,0.00,0.34,1.00,0,0,1
2022-02-27,2022-02-27,12,0.31,0.05,0.04,0.01,0.00,0.28,1.00,0,0,0
2022-02-27,2022-02-27,13,0.27,0.04,0.03,0.01,0.00,0.24,1.00,0,0,0
2022-02-27,2022-02-27,14,0.44,0.04,0.04,0.00,0.00,0.40,1.00,0,0,0
2022-02-27,2022-02-27,15,0.14,0.04,0.03,0.01,0.00,0.12,1.00,1,1,1
2022-02-27,2022-02-27,16,0.23,0.11,0.03,0.00,0.08,0.19,1.00,0,1,1
2022-02-27,2022-02-28,1,0.22,0.08,0.03,0.00,0.04,0.18,1.00,0,1,1
2022-02-27,2022-02-28,2,0.22,0.05,0.04,0.00,0.01,0.17,1.00,0,1,1
2022-02-27,2022-02-28,3,0.27,0.05,0.04,0.00,0.02,0.23,1.00,0,0,1
2022-02-27,2022-02-28,4,0.35,0.03,0.03,0.00,0.00,0.30,1.00,0,0,1
2022-02-27,2022-02-28,5,0.31,0.05,0.03,0.01,0.00,0.27,1.00,0,0,1
2022-02-27,2022-02-28,6,0.30,0.04,0.03,0.01,0.00,0.25,1.00,0,0,1
