refdate,target,location,rmse,wis,dispersion,underprediction,overprediction,mae,mda,within_50,within_80,within_95
2020-07-26,2020-07-26,1.00,0.84,0.38,0.11,0.26,0.00,0.71,0.98,0,0,1
2020-07-26,2020-07-26,2.00,3.90,0.97,0.11,0.86,0.00,3.84,0.95,0,0,0
2020-07-26,2020-07-26,3.00,1.64,1.67,0.10,1.58,0.00,0.78,0.98,0,1,1
2020-07-26,2020-07-26,4.00,1.83,2.14,0.09,2.06,0.00,1.29,0.95,1,1,1
2020-07-26,2020-07-26,5.00,3.32,2.37,0.12,2.26,0.00,3.19,0.99,0,0,0
2020-07-26,2020-07-26,6.00,0.82,3.15,0.11,3.04,0.00,0.74,1.00,0,0,1
2020-07-26,2020-07-26,7.00,0.40,3.25,0.11,3.14,0.00,0.28,1.00,1,1,1
2020-07-26,2020-07-26,8.00,0.61,3.15,0.12,3.04,0.00,0.37,1.00,1,1,1
2020-07-26,2020-07-26,9.00,2.24,3.03,0.10,2.93,0.00,1.05,1.00,0,1,1
2020-07-26,2020-07-26,10.00,0.86,2.98,0.10,2.88,0.00,0.80,1.00,0,0,0
2020-07-26,2020-07-26,11.00,1.71,2.53,0.09,2.44,0.00,1.48,1.00,0,0,1
2020-07-26,2020-07-26,12.00,0.79,2.89,0.11,2.78,0.00,0.69,1.00,0,0,1
2020-07-26,2020-07-26,13.00,1.99,2.32,0.10,2.22,0.00,1.98,0.67,0,0,0
2020-07-26,2020-07-26,14.00,0.45,2.08,0.09,1.99,0.00,0.39,0.92,0,1,1
2020-07-26,2020-07-26,15.00,0.55,2.17,0.11,2.07,0.00,0.43,0.97,0,1,1
2020-07-26,2020-07-26,16.00,0.57,3.28,0.12,3.16,0.00,0.42,0.95,0,1,1
2020-07-26,2020-07-27,1.00,1.48,3.12,0.11,3.00,0.00,1.39,1.00,0,0,0
2020-07-26,2020-07-27,2.00,3.75,3.19,0.12,3.07,0.00,3.68,0.97,0,0,0
2020-07-26,2020-07-27,3.00,0.90,3.23,0.14,3.09,0.00,0.77,1.00,0,0,1
2020-07-26,2020-07-27,4.00,1.78,3.94,0.12,3.82,0.00,1.39,0.98,1,1,1
2020-07-26,2020-07-27,5.00,3.00,3.62,0.15,3.47,0.00,2.91,1.00,0,0,0
2020-07-26,2020-07-27,6.00,1.61,2.98,0.18,2.80,0.00,1.55,1.00,0,0,0
2020-07-26,2020-07-27,7.00,0.56,3.55,0.13,3.42,0.00,0.34,1.00,1,1,1
2020-07-26,2020-07-27,8.00,0.66,5.26,0.13,5.13,0.00,0.41,1.00,0,1,1
2020-07-26,2020-07-27,9.00,0.95,6.70,0.12,6.58,0.00,0.63,1.00,0,1,1
2020-07-26,2020-07-27,10.00,1.13,8.30,0.10,8.19,0.00,1.05,0.99,0,0,0
2020-07-26,2020-07-27,11.00,1.74,10.37,0.13,10.24,0.00,1.56,0.99,0,0,1
2020-07-26,2020-07-27,12.00,0.67,11.21,0.12,11.08,0.00,0.52,0.99,0,0,1
2020-07-26,2020-07-27,13.00,2.33,12.17,0.11,12.06,0.00,2.32,0.68,0,0,0
2020-07-26,2020-07-27,14.00,0.41,12.29,0.13,12.16,0.00,0.35,0.92,0,1,1
2020-07-26,2020-07-27,15.00,0.52,0.29,0.10,0.19,0.00,0.44,0.99,0,1,1
2020-07-26,2020-07-27,16.00,1.02,0.43,0.09,0.34,0.00,0.58,0.95,0,1,1
2020-07-26,2020-07-28,1.00,2.14,0.31,0.09,0.22,0.00,2.08,0.96,0,0,0
2020-07-26,2020-07-28,2.00,3.78,0.32,0.12,0.20,0.00,3.71,0.98,0,0,0
2020-07-26,2020-07-28,3.00,0.71,0.60,0.10,0.50,0.00,0.59,1.00,0,1,1
2020-07-26,2020-07-28,4.00,2.93,0.95,0.10,0.84,0.00,2.38,0.95,0,0,1
