refdate,target,location,rmse,wis,dispersion,underprediction,overprediction,mae,mda,within_50,within_80,within_95
2022-02-06,2022-02-28,7336.00,140.39,349.41,8.57,340.84,0.00,113.08,1.00,1,1,1
2022-02-06,2022-02-28,7337.00,2045.24,500.75,10.78,489.98,0.00,2033.17,1.00,0,0,0
2022-02-06,2022-02-28,7338.00,823.49,594.07,13.03,581.04,0.00,804.11,1.00,0,0,0
2022-02-06,2022-02-28,7339.00,621.13,534.23,15.76,518.47,0.00,585.42,1.00,0,0,0
2022-02-06,2022-02-28,7340.00,606.17,567.71,17.06,550.64,0.00,583.15,1.00,0,0,0
2022-02-06,2022-02-28,8111.00,828.26,480.90,19.07,461.83,0.00,819.83,1.00,0,0,0
2022-02-06,2022-02-28,8115.00,2652.84,458.77,21.92,436.86,0.00,2644.80,1.00,0,0,0
2022-02-06,2022-02-28,8116.00,1172.47,486.58,22.83,463.74,0.00,1159.84,1.00,0,0,0
2022-02-06,2022-02-28,8117.00,885.24,424.93,25.25,399.68,0.00,855.71,1.00,0,0,0
2022-02-06,2022-02-28,8118.00,1580.52,384.87,27.56,357.31,0.00,1573.86,1.00,0,0,0
2022-02-06,2022-02-28,8119.00,1049.27,366.06,28.23,337.83,0.00,1033.84,1.00,0,0,0
2022-02-06,2022-02-28,8121.00,1312.08,342.24,29.41,312.83,0.00,1293.29,1.00,0,0,0
2022-02-06,2022-02-28,8125.00,2827.03,287.20,30.61,256.59,0.00,2815.20,1.00,0,0,0
2022-02-06,2022-02-28,8126.00,1405.28,134.72,31.37,103.35,0.00,1379.67,1.00,0,0,0
2022-02-06,2022-02-28,8127.00,1841.48,59.27,32.38,26.89,0.00,1822.55,1.00,0,0,0
2022-02-06,2022-02-28,8128.00,610.12,38.13,33.70,4.42,0.00,575.92,1.00,0,0,0
2022-02-06,2022-02-28,8135.00,3607.35,35.66,34.78,0.00,0.88,3596.14,1.00,0,0,0
2022-02-06,2022-02-28,8136.00,320.15,40.21,36.01,0.00,4.19,284.39,1.00,0,0,1
2022-02-06,2022-02-28,8211.00,1110.86,40.70,36.46,0.00,4.24,1087.53,1.00,0,0,0
2022-02-06,2022-02-28,8212.00,804.11,37.56,36.95,0.00,0.60,793.77,1.00,0,0,0
