refdate,target,location,rmse,wis,dispersion,underprediction,overprediction,mae,mda,within_50,within_80,within_95
2021-03-14,2021-03-26,5911.00,51.12,24.88,11.48,13.40,0.00,41.99,1.00,0,1,1
2021-03-14,2021-03-26,5913.00,62.88,22.42,11.72,10.70,0.00,52.33,0.95,0,1,1
2021-03-14,2021-03-26,5914.00,110.72,28.85,11.81,17.04,0.00,105.08,1.00,0,0,0
2021-03-14,2021-03-26,5915.00,42.40,40.37,12.53,27.84,0.00,33.38,0.98,1,1,1
2021-03-14,2021-03-26,5916.00,83.77,7.15,0.98,6.18,0.00,70.96,1.00,0,0,1
2021-03-14,2021-03-26,5954.00,74.71,4.43,1.80,2.64,0.00,67.30,0.96,0,0,1
2021-03-14,2021-03-26,5958.00,31.16,6.48,2.10,4.39,0.00,26.53,1.00,0,0,1
2021-03-14,2021-03-26,5962.00,75.11,12.65,2.41,10.24,0.00,70.97,1.00,0,0,0
2021-03-14,2021-03-26,5966.00,54.24,9.05,3.00,6.05,0.00,47.49,1.00,0,0,1
2021-03-14,2021-03-26,5970.00,74.03,3.15,3.09,0.00,0.06,69.89,1.00,0,0,0
2021-03-14,2021-03-26,5974.00,34.34,4.35,3.53,0.81,0.00,28.52,1.00,0,1,1
2021-03-14,2021-03-26,5978.00,45.55,4.26,3.73,0.54,0.00,37.65,0.97,0,1,1
2021-03-14,2021-03-26,6411.00,44.92,5.50,4.23,1.27,0.00,40.04,0.99,0,0,1
2021-03-14,2021-03-26,6412.00,40.04,7.76,4.50,3.26,0.00,30.85,1.00,1,1,1
2021-03-14,2021-03-26,6413.00,50.82,7.20,4.91,2.29,0.00,40.46,1.00,1,1,1
2021-03-14,2021-03-26,6414.00,55.43,7.04,5.13,1.91,0.00,45.08,0.88,0,1,1
2021-03-14,2021-03-26,6431.00,52.20,7.56,5.81,1.75,0.00,44.00,1.00,0,0,1
2021-03-14,2021-03-26,6432.00,65.01,10.09,6.29,3.80,0.00,62.19,1.00,0,0,0
2021-03-14,2021-03-26,6433.00,53.38,8.97,6.85,2.12,0.00,47.70,1.00,0,0,0
2021-03-14,2021-03-26,6434.00,68.26,7.83,7.34,0.48,0.00,65.59,1.00,0,0,0
2021-03-14,2021-03-26,6435.00,55.87,8.05,7.94,0.00,0.11,47.51,1.00,0,1,1
2021-03-14,2021-03-26,6436.00,48.06,8.56,8.40,0.00,0.16,43.15,0.99,0,0,0
2021-03-14,2021-03-26,6437.00,73.03,8.93,8.66,0.00,0.27,66.18,0.96,0,0,0
2021-03-14,2021-03-26,6438.00,94.82,9.28,8.93,0.00,0.35,83.57,1.00,0,0,1
2021-03-14,2021-03-26,6439.00,28.41,18.62,9.48,0.00,9.14,22.81,1.00,1,1,1
2021-03-14,2021-03-26,6440.00,49.76,14.00,10.24,0.00,3.76,41.25,1.00,0,1,1
2021-03-14,2021-03-26,6531.00,125.12,15.86,10.44,0.00,5.42,117.30,1.00,0,0,0
2021-03-14,2021-03-26,6532.00,64.59,20.96,11.22,0.00,9.74,59.14,1.00,0,0,0
2021-03-14,2021-03-26,6533.00,103.60,18.07,11.38,0.00,6.69,95.90,0.97,0,0,0
2021-03-14,2021-03-26,6534.00,66.64,16.51,11.45,0.00,5.06,60.32,1.00,0,0,0
2021-03-14,2021-03-26,6535.00,117.06,14.36,12.13,0.00,2.23,113.75,0.82,0,0,0
2021-03-14,2021-03-26,6611.00,30.47,12.16,12.06,0.00,0.10,23.02,1.00,1,1,1
2021-03-14,2021-03-26,6631.00,136.74,1.76,1.15,0.61,0.00,122.05,0.85,0,1,1
2021-03-14,2021-03-26,6632.00,199.41,2.82,1.49,0.00,1.33,196.81,1.00,0,0,0
2021-03-14,2021-03-26,6633.00,75.87,9.55,1.85,0.00,7.70,73.03,0.92,0,0,0
2021-03-14,2021-03-26,6634.00,51.88,4.52,2.10,0.00,2.42,47.82,0.89,0,0,0
2021-03-14,2021-03-26,6635.00,52.65,3.67,2.65,0.00,1.02,45.99,0.97,0,0,1
2021-03-14,2021-03-26,6636.00,33.76,6.21,3.30,0.00,2.91,26.66,1.00,1,1,1
2021-03-14,2021-03-26,7111.00,59.81,4.14,4.04,0.00,0.10,54.10,0.98,0,0,0
2021-03-14,2021-03-26,7131.00,22.69,7.14,4.04,0.00,3.10,18.35,1.00,1,1,1
2021-03-14,2021-03-26,7132.00,91.48,8.66,4.60,0.00,4.07,88.72,1.00,0,0,0
2021-03-14,2021-03-26,7133.00,68.11,9.13,5.13,0.00,4.00,65.39,0.60,0,0,0
2021-03-14,2021-03-26,7134.00,62.10,21.01,5.67,0.00,15.34,54.37,0.94,0,0,1
2021-03-14,2021-03-26,7135.00,47.68,24.05,6.03,0.00,18.02,43.61,0.73,0,0,1
2021-03-14,2021-03-26,7137.00,47.71,23.36,6.56,0.00,16.81,42.02,0.96,0,0,1
2021-03-14,2021-03-26,7138.00,157.91,39.27,6.92,0.00,32.36,154.37,1.00,0,0,0
2021-03-14,2021-03-26,7140.00,46.36,38.05,7.53,0.00,30.52,40.42,0.94,0,0,1
2021-03-14,2021-03-26,7141.00,38.26,32.94,7.99,0.00,24.95,31.38,1.00,0,0,1
2021-03-14,2021-03-26,7143.00,47.42,35.07,8.24,0.00,26.84,43.37,1.00,0,0,0
2021-03-14,2021-03-26,7211.00,21.03,29.22,9.16,0.00,20.05,16.69,1.00,1,1,1
2021-03-14,2021-03-26,7231.00,26.69,33.24,9.83,0.00,23.40,21.88,0.98,0,1,1
2021-03-14,2021-03-26,7232.00,33.12,38.99,10.37,0.00,28.62,27.39,0.99,1,1,1
2021-03-14,2021-03-26,7233.00,59.31,47.13,10.72,0.00,36.41,51.73,0.92,0,0,1
2021-03-14,2021-03-26,7235.00,23.63,48.48,11.51,0.00,36.98,19.56,1.00,1,1,1
2021-03-14,2021-03-26,7311.00,53.24,62.14,12.20,0.00,49.94,45.26,1.00,0,1,1
2021-03-14,2021-03-26,7312.00,25.15,69.28,12.91,0.00,56.38,20.96,0.95,1,1,1
2021-03-14,2021-03-26,7313.00,29.13,68.09,13.33,0.00,54.75,23.40,0.93,1,1,1
2021-03-14,2021-03-26,7314.00,116.91,50.33,14.51,0.00,35.81,110.12,0.93,0,0,0
2021-03-14,2021-03-26,7315.00,42.82,37.95,14.57,0.00,23.38,36.01,0.99,0,1,1
2021-03-14,2021-03-26,7316.00,42.61,27.24,15.19,0.00,12.04,38.65,0.97,0,0,1
2021-03-14,2021-03-26,7317.00,87.19,1.36,0.95,0.41,0.00,77.17,1.00,0,0,1
2021-03-14,2021-03-26,7318.00,165.15,1.56,1.48,0.00,0.08,161.73,0.76,0,0,0
2021-03-14,2021-03-26,7319.00,129.89,5.35,1.81,3.54,0.00,126.23,0.92,0,0,0
2021-03-14,2021-03-26,7320.00,24.88,6.73,2.25,4.47,0.00,19.74,0.95,1,1,1
