refdate,target,location,rmse,wis,dispersion,underprediction,overprediction,mae,mda,within_50,within_80,within_95
2023-02-05,2023-02-19,9173.00,184.80,43.11,29.69,13.42,0.00,131.21,0.51,1,1,1
2023-02-05,2023-02-19,9174.00,408.25,42.87,31.92,10.95,0.00,303.42,0.81,1,1,1
2023-02-05,2023-02-19,9175.00,256.01,45.23,33.40,11.83,0.00,182.24,0.72,1,1,1
2023-02-05,2023-02-19,9176.00,759.78,47.13,36.59,10.55,0.00,508.89,0.57,1,1,1
2023-02-05,2023-02-19,9177.00,281.71,49.44,38.62,10.82,0.00,205.53,0.63,1,1,1
2023-02-05,2023-02-19,9178.00,204.34,51.36,40.63,10.73,0.00,146.56,0.54,1,1,1
2023-02-05,2023-02-19,9179.00,695.55,51.79,41.43,10.37,0.00,458.90,0.51,1,1,1
2023-02-05,2023-02-19,9180.00,203.74,53.54,43.54,10.00,0.00,149.35,0.65,1,1,1
2023-02-05,2023-02-19,9181.00,150.18,54.08,44.53,9.55,0.00,118.38,0.61,1,1,1
2023-02-05,2023-02-19,9182.00,445.84,54.21,46.34,7.88,0.00,294.21,0.51,1,1,1
2023-02-05,2023-02-19,9183.00,294.08,55.29,48.27,7.02,0.00,206.74,0.58,1,1,1
2023-02-05,2023-02-19,9184.00,242.41,7.29,6.05,1.24,0.00,173.74,0.69,1,1,1
2023-02-05,2023-02-19,9185.00,243.04,10.63,9.55,1.08,0.00,182.35,0.68,1,1,1
2023-02-05,2023-02-19,9186.00,246.13,13.16,12.15,1.02,0.00,180.32,0.73,1,1,1
2023-02-05,2023-02-19,9187.00,267.73,17.41,15.14,2.28,0.00,186.30,0.63,1,1,1
2023-02-05,2023-02-19,9188.00,485.28,19.64,18.12,1.52,0.00,327.19,0.55,1,1,1
2023-02-05,2023-02-19,9189.00,437.61,22.85,21.72,1.13,0.00,269.50,0.43,1,1,1
2023-02-05,2023-02-19,9190.00,393.32,23.46,22.79,0.67,0.00,277.17,0.70,1,1,1
2023-02-05,2023-02-19,9261.00,292.78,27.20,26.11,1.09,0.00,234.73,0.84,1,1,1
2023-02-05,2023-02-19,9262.00,251.01,28.55,28.05,0.51,0.00,196.30,0.67,1,1,1
2023-02-05,2023-02-19,9263.00,232.85,31.67,29.70,1.96,0.00,190.64,0.77,1,1,1
2023-02-05,2023-02-19,9271.00,246.43,35.47,32.52,2.95,0.00,188.88,0.86,1,1,1
2023-02-05,2023-02-19,9272.00,421.09,39.26,36.57,2.69,0.00,285.41,0.64,1,1,1
2023-02-05,2023-02-19,9273.00,302.49,41.03,39.07,1.96,0.00,223.31,0.83,1,1,1
2023-02-05,2023-02-19,9274.00,296.84,44.19,42.59,1.61,0.00,236.21,0.76,1,1,1
2023-02-05,2023-02-19,9275.00,286.27,48.70,45.09,3.61,0.00,213.44,0.74,1,1,1
2023-02-05,2023-02-19,9276.00,230.96,52.11,48.12,3.99,0.00,182.91,0.66,1,1,1
2023-02-05,2023-02-19,9277.00,248.50,56.92,51.66,5.27,0.00,186.13,0.56,1,1,1
2023-02-05,2023-02-19,9278.00,210.18,60.01,54.70,5.31,0.00,177.67,0.73,1,1,1
2023-02-05,2023-02-19,9279.00,271.11,60.71,56.13,4.58,0.00,201.39,0.67,1,1,1
2023-02-05,2023-02-19,9361.00,222.19,63.67,59.69,3.98,0.00,178.53,0.76,1,1,1
2023-02-05,2023-02-19,9362.00,169.13,63.25,61.01,2.24,0.00,136.72,0.68,1,1,1
2023-02-05,2023-02-19,9363.00,306.36,67.66,64.99,2.67,0.00,259.13,0.85,1,1,1
2023-02-05,2023-02-19,9371.00,196.70,69.28,67.26,2.01,0.00,160.53,0.67,1,1,1
2023-02-05,2023-02-19,9372.00,337.24,71.85,69.69,2.15,0.00,255.40,0.69,1,1,1
2023-02-05,2023-02-19,9373.00,553.32,73.21,71.33,1.88,0.00,385.69,0.59,1,1,1
2023-02-05,2023-02-19,9374.00,326.24,74.60,71.81,2.79,0.00,268.12,0.88,1,1,1
2023-02-05,2023-02-19,9375.00,341.34,76.39,74.59,1.79,0.00,258.27,0.65,1,1,1
2023-02-05,2023-02-19,9376.00,231.46,78.60,76.11,2.48,0.00,183.66,0.69,1,1,1
2023-02-05,2023-02-19,9377.00,364.99,7.34,7.29,0.00,0.05,283.17,0.69,1,1,1
2023-02-05,2023-02-19,9461.00,180.51,11.81,11.63,0.00,0.18,135.95,0.61,1,1,1
2023-02-05,2023-02-19,9462.00,258.51,14.02,13.63,0.00,0.39,208.09,0.52,1,1,1
2023-02-05,2023-02-19,9463.00,257.04,15.23,15.16,0.00,0.08,172.57,0.56,1,1,1
2023-02-05,2023-02-19,9464.00,237.69,18.77,18.30,0.47,0.00,173.27,0.63,1,1,1
2023-02-05,2023-02-19,9471.00,304.81,20.54,20.07,0.47,0.00,208.72,0.56,1,1,1
2023-02-05,2023-02-19,9472.00,229.53,23.92,23.61,0.31,0.00,195.93,0.42,1,1,1
2023-02-05,2023-02-19,9473.00,191.66,27.17,26.21,0.95,0.00,140.42,0.65,1,1,1
2023-02-05,2023-02-19,9474.00,321.32,29.88,28.72,1.15,0.00,244.93,0.80,1,1,1
2023-02-05,2023-02-19,9475.00,306.89,32.02,30.62,1.40,0.00,231.35,0.55,1,1,1
2023-02-05,2023-02-19,9476.00,220.84,36.61,35.15,1.46,0.00,178.24,0.64,1,1,1
2023-02-05,2023-02-19,9477.00,317.41,37.60,35.78,1.81,0.00,228.98,0.64,1,1,1
2023-02-05,2023-02-19,9478.00,254.67,43.35,40.48,2.87,0.00,201.50,0.57,1,1,1
2023-02-05,2023-02-19,9479.00,570.49,44.57,42.63,1.94,0.00,409.29,0.65,1,1,1
2023-02-05,2023-02-19,9561.00,231.20,48.47,47.69,0.78,0.00,188.53,0.39,0,1,1
2023-02-05,2023-02-19,9562.00,378.12,50.46,49.66,0.80,0.00,279.26,0.70,1,1,1
2023-02-05,2023-02-19,9563.00,293.75,51.23,49.19,2.03,0.00,227.80,0.75,1,1,1
2023-02-05,2023-02-19,9564.00,151.96,54.41,53.78,0.63,0.00,131.08,0.76,1,1,1
2023-02-05,2023-02-19,9565.00,293.04,57.13,55.72,1.41,0.00,225.83,0.84,1,1,1
2023-02-05,2023-02-19,9571.00,381.79,61.98,60.62,1.36,0.00,251.74,0.58,1,1,1
2023-02-05,2023-02-19,9572.00,392.19,69.26,65.04,4.22,0.00,297.97,0.71,1,1,1
2023-02-05,2023-02-19,9573.00,253.03,73.80,68.54,5.26,0.00,201.44,0.67,1,1,1
2023-02-05,2023-02-19,9574.00,220.42,76.37,72.06,4.31,0.00,171.55,0.66,1,1,1
2023-02-05,2023-02-19,9575.00,411.68,82.43,75.68,6.75,0.00,298.10,0.62,1,1,1
2023-02-05,2023-02-19,9576.00,316.99,87.71,77.23,10.48,0.00,233.50,0.79,1,1,1
2023-02-05,2023-02-19,9577.00,265.66,89.11,80.11,8.99,0.00,190.59,0.70,1,1,1
2023-02-05,2023-02-19,9661.00,292.40,90.72,83.72,7.00,0.00,222.38,0.65,1,1,1
2023-02-05,2023-02-19,9662.00,196.12,88.76,86.27,2.49,0.00,163.90,0.55,1,1,1
2023-02-05,2023-02-19,9663.00,207.41,7.73,7.54,0.20,0.00,171.17,0.70,1,1,1
2023-02-05,2023-02-19,9671.00,296.61,12.47,10.79,1.68,0.00,211.28,0.59,1,1,1
2023-02-05,2023-02-19,9672.00,276.82,21.27,14.94,6.34,0.00,212.64,0.84,1,1,1
2023-02-05,2023-02-19,9673.00,232.83,29.18,16.48,12.70,0.00,167.39,0.71,1,1,1
2023-02-05,2023-02-19,9674.00,280.17,26.42,19.14,7.28,0.00,205.49,0.59,1,1,1
2023-02-05,2023-02-19,9675.00,237.60,30.47,21.43,9.04,0.00,186.47,0.74,1,1,1
2023-02-05,2023-02-19,9676.00,234.06,32.77,22.06,10.71,0.00,191.81,0.64,1,1,1
2023-02-05,2023-02-19,9677.00,179.04,33.27,25.60,7.67,0.00,146.52,0.56,1,1,1
2023-02-05,2023-02-19,9678.00,259.62,35.47,29.39,6.07,0.00,201.91,0.65,1,1,1
2023-02-05,2023-02-19,9679.00,171.85,39.59,33.17,6.42,0.00,144.87,0.63,1,1,1
2023-02-05,2023-02-19,9761.00,171.79,40.94,36.01,4.93,0.00,136.36,0.54,1,1,1
2023-02-05,2023-02-19,9762.00,319.86,44.39,39.13,5.27,0.00,238.68,0.73,1,1,1
2023-02-05,2023-02-19,9763.00,255.55,48.65,42.21,6.44,0.00,183.67,0.68,1,1,1
2023-02-05,2023-02-19,9764.00,165.89,55.02,46.08,8.95,0.00,123.41,0.61,1,1,1
2023-02-05,2023-02-19,9771.00,238.52,56.10,45.03,11.07,0.00,181.49,0.66,1,1,1
2023-02-05,2023-02-19,9772.00,257.95,55.86,44.15,11.71,0.00,183.20,0.64,1,1,1
2023-02-05,2023-02-19,9773.00,248.70,60.55,46.03,14.52,0.00,204.26,0.79,1,1,1
2023-02-05,2023-02-19,9774.00,310.73,63.49,46.15,17.34,0.00,243.96,0.81,1,1,1
2023-02-05,2023-02-19,9775.00,526.28,63.54,46.51,17.02,0.00,356.27,0.59,1,1,1
2023-02-05,2023-02-19,9776.00,170.58,67.22,47.18,20.03,0.00,128.14,0.55,1,1,1
2023-02-05,2023-02-19,9777.00,263.12,68.37,48.04,20.33,0.00,202.31,0.75,1,1,1
2023-02-05,2023-02-19,9778.00,223.66,71.87,50.23,21.64,0.00,164.91,0.66,1,1,1
2023-02-05,2023-02-19,9779.00,591.11,75.60,50.07,25.53,0.00,426.38,0.56,1,1,1
2023-02-05,2023-02-19,9780.00,196.42,75.76,52.25,23.51,0.00,141.26,0.58,1,1,1
2023-02-05,2023-02-19,10041.00,226.55,75.76,55.57,20.19,0.00,175.37,0.73,1,1,1
2023-02-05,2023-02-19,10042.00,473.38,80.50,59.83,20.67,0.00,352.86,0.78,1,1,1
2023-02-05,2023-02-19,10043.00,164.78,77.56,62.69,14.87,0.00,141.28,0.73,1,1,1
2023-02-05,2023-02-19,10044.00,258.79,76.87,66.64,10.23,0.00,190.85,0.56,1,1,1
2023-02-05,2023-02-19,10045.00,966.28,6.03,5.85,0.18,0.00,591.13,0.55,1,1,1
2023-02-05,2023-02-19,10046.00,363.47,8.62,8.09,0.00,0.53,286.57,0.76,1,1,1
2023-02-05,2023-02-19,11001.00,295.78,11.01,10.99,0.00,0.02,214.02,0.49,1,1,1
2023-02-05,2023-02-19,11002.00,261.10,13.77,13.59,0.17,0.00,163.46,0.52,1,1,1
2023-02-05,2023-02-19,11003.00,353.04,16.39,16.17,0.22,0.00,217.20,0.53,1,1,1
2023-02-05,2023-02-19,11004.00,166.56,16.90,16.37,0.52,0.00,117.56,0.62,1,1,1
2023-02-05,2023-02-19,11005.00,147.01,21.47,20.56,0.91,0.00,105.43,0.49,1,1,1
2023-02-05,2023-02-19,11006.00,188.77,21.86,21.63,0.23,0.00,130.51,0.73,1,1,1
2023-02-05,2023-02-19,11007.00,150.97,25.92,25.76,0.17,0.00,117.30,0.63,1,1,1
2023-02-05,2023-02-19,11008.00,314.43,27.22,25.72,1.50,0.00,199.55,0.50,1,1,1
2023-02-05,2023-02-19,11009.00,150.48,29.90,26.53,3.36,0.00,111.66,0.57,1,1,1
2023-02-05,2023-02-19,11010.00,96.44,34.16,30.28,3.89,0.00,75.24,0.60,1,1,1
2023-02-05,2023-02-19,11011.00,483.17,36.36,33.92,2.44,0.00,297.32,0.50,1,1,1
2023-02-05,2023-02-19,11012.00,134.05,37.72,36.36,1.36,0.00,102.50,0.53,1,1,1
2023-02-05,2023-02-19,12051.00,338.73,40.09,38.20,1.88,0.00,219.60,0.57,1,1,1
2023-02-05,2023-02-19,12052.00,148.39,42.20,39.44,2.76,0.00,114.96,0.63,1,1,1
2023-02-05,2023-02-19,12053.00,214.17,45.42,41.96,3.45,0.00,165.38,0.56,1,1,1
2023-02-05,2023-02-19,12054.00,429.69,47.96,44.56,3.40,0.00,407.73,0.47,0,0,0
2023-02-05,2023-02-19,12060.00,493.80,50.66,46.68,3.98,0.00,323.73,0.57,1,1,1
2023-02-05,2023-02-19,12061.00,204.90,51.51,49.09,2.42,0.00,149.44,0.56,1,1,1
2023-02-05,2023-02-19,12062.00,145.86,52.70,51.93,0.78,0.00,109.36,0.56,1,1,1
2023-02-05,2023-02-19,12063.00,151.19,55.61,53.56,2.05,0.00,110.94,0.64,1,1,1
