refdate,target,location,rmse,wis,dispersion,underprediction,overprediction,mae,mda,within_50,within_80,within_95
2023-06-11,2023-06-16,14626.00,51.34,9.64,9.61,0.03,0.00,26.77,0.50,1,1,1
2023-06-11,2023-06-16,14627.00,74.31,9.26,9.23,0.03,0.00,41.33,0.50,1,1,1
2023-06-11,2023-06-16,14628.00,81.89,7.77,7.70,0.07,0.00,50.56,0.56,1,1,1
2023-06-11,2023-06-16,14713.00,45.87,9.23,9.19,0.05,0.00,27.18,0.44,1,1,1
2023-06-11,2023-06-16,14729.00,60.24,8.59,8.54,0.05,0.00,33.38,0.48,1,1,1
2023-06-11,2023-06-16,14730.00,52.54,8.35,8.33,0.02,0.00,33.09,0.56,1,1,1
2023-06-11,2023-06-16,15001.00,57.23,9.39,9.35,0.05,0.00,34.78,0.54,1,1,1
2023-06-11,2023-06-16,15002.00,60.67,10.08,10.06,0.02,0.00,36.00,0.56,1,1,1
2023-06-11,2023-06-16,15003.00,79.13,10.24,10.22,0.02,0.00,46.76,0.57,1,1,1
2023-06-11,2023-06-16,15081.00,57.23,10.51,10.51,0.00,0.00,32.80,0.44,1,1,1
2023-06-11,2023-06-16,15082.00,69.26,10.89,10.89,0.00,0.00,43.30,0.59,1,1,1
2023-06-11,2023-06-16,15083.00,83.92,10.20,10.20,0.00,0.00,46.76,0.43,1,1,1
2023-06-11,2023-06-16,15084.00,60.95,3.60,3.45,0.00,0.15,33.69,0.55,1,1,1
2023-06-11,2023-06-16,15085.00,57.43,4.72,4.57,0.00,0.15,35.91,0.61,1,1,1
2023-06-11,2023-06-16,15086.00,65.90,6.43,6.15,0.00,0.28,39.69,0.50,1,1,1
2023-06-11,2023-06-16,15087.00,79.93,8.37,7.90,0.00,0.47,44.47,0.51,1,1,1
2023-06-11,2023-06-16,15088.00,75.83,8.83,8.51,0.00,0.32,41.64,0.51,1,1,1
2023-06-11,2023-06-16,15089.00,46.21,8.96,8.70,0.00,0.26,24.66,0.38,1,1,1
2023-06-11,2023-06-16,15090.00,66.25,8.82,8.75,0.00,0.07,40.80,0.55,1,1,1
2023-06-11,2023-06-16,15091.00,66.48,9.43,9.21,0.00,0.21,39.02,0.56,1,1,1
2023-06-11,2023-06-16,16051.00,100.41,9.99,9.94,0.05,0.00,56.56,0.47,1,1,1
2023-06-11,2023-06-16,16052.00,51.66,10.25,10.17,0.00,0.08,27.66,0.45,1,1,1
2023-06-11,2023-06-16,16053.00,72.12,9.41,9.35,0.06,0.00,43.30,0.51,1,1,1
2023-06-11,2023-06-16,16054.00,73.69,9.79,9.73,0.06,0.00,44.02,0.51,1,1,1
2023-06-11,2023-06-16,16055.00,74.55,10.04,9.99,0.05,0.00,43.59,0.48,1,1,1
2023-06-11,2023-06-16,16061.00,75.13,9.71,9.66,0.05,0.00,47.32,0.56,1,1,1
2023-06-11,2023-06-16,16062.00,70.31,11.78,11.73,0.00,0.05,41.96,0.59,1,1,1
